Date,Aggregated_Daily_Score,Aggregated_General_Sentiment,Long_Term_Trend,Aggregated_Daily_Score_5,Aggregated_Sentiment_5,Signal_5,Aggregated_Daily_Score_15,Aggregated_Sentiment_15,Signal_15,Aggregated_Daily_Score_30,Aggregated_Sentiment_30,Signal_30,Aggregated_Daily_Score_100,Aggregated_Sentiment_100,Signal_100
2014-04-26,-1.0,отрицательный,-1,-1.0,отрицательный,-1,-1.0,отрицательный,-1,-1.0,отрицательный,-1,-1.0,отрицательный,-1
2014-04-27,-0.8869639307015053,отрицательный,-1,-0.8010994502748625,отрицательный,-1,-0.8460943542150039,отрицательный,-1,-0.8715300193673338,отрицательный,-1,-0.8869639307015053,отрицательный,-1
2014-04-28,-0.2916785004260153,нейтральный,0,0.2463768115942031,нейтральный,0,-0.03557617942768743,нейтральный,0,-0.19496449322143306,нейтральный,0,-0.2916785004260153,нейтральный,0
2014-04-29,0.2405566600397615,нейтральный,0,1.0,положительный,1,0.6890951276102091,положительный,1,0.4099418979987093,положительный,1,0.2405566600397615,нейтральный,0
2014-04-30,-0.5296790684464641,отрицательный,-1,-0.2417582417582419,нейтральный,0,-0.3596287703016242,отрицательный,-1,-0.40645161290322585,отрицательный,-1,-0.5296790684464641,отрицательный,-1
2014-05-01,-0.5342232320363534,отрицательный,-1,-0.37430730478589425,отрицательный,-1,-0.365815931941222,отрицательный,-1,-0.365815931941222,отрицательный,-1,-0.5342232320363534,отрицательный,-1
2014-05-02,-0.8591309287134337,отрицательный,-1,-1.0,отрицательный,-1,-0.8081979891724671,отрицательный,-1,-0.8081979891724671,отрицательный,-1,-0.8591309287134337,отрицательный,-1
2014-05-03,-0.8824197671116161,отрицательный,-1,-1.0,отрицательный,-1,-0.839907192575406,отрицательный,-1,-0.839907192575406,отрицательный,-1,-0.8824197671116161,отрицательный,-1
2014-05-04,-0.8909400738426584,отрицательный,-1,-1.0,отрицательный,-1,-0.851508120649652,отрицательный,-1,-0.851508120649652,отрицательный,-1,-0.8909400738426584,отрицательный,-1
2014-05-05,-0.1633058790116444,нейтральный,0,1.0,положительный,1,0.13921113689095144,нейтральный,0,0.13921113689095144,нейтральный,0,-0.1633058790116444,нейтральный,0
2014-05-06,-0.08435103663731891,нейтральный,0,1.0,положительный,1,0.24671307037896373,нейтральный,0,0.24671307037896373,нейтральный,0,-0.08435103663731891,нейтральный,0
2014-05-07,-0.35813689292814543,отрицательный,-1,0.3211267605633803,положительный,1,0.034798534798534675,нейтральный,0,-0.1260634184068058,нейтральный,0,-0.35813689292814543,отрицательный,-1
2014-05-08,-0.3280318091451292,отрицательный,-1,0.39577464788732386,положительный,1,0.08333333333333326,нейтральный,0,-0.08507347254447017,нейтральный,0,-0.3280318091451292,отрицательный,-1
2014-05-09,-0.8392502130076682,отрицательный,-1,-1.0,отрицательный,-1,-0.7408424908424909,отрицательный,-1,-0.7811291569992266,отрицательный,-1,-0.8392502130076682,отрицательный,-1
2014-05-10,-0.8892360124964499,отрицательный,-1,-1.0,отрицательный,-1,-0.8214285714285714,отрицательный,-1,-0.8491879350348028,отрицательный,-1,-0.8892360124964499,отрицательный,-1
2014-05-11,-0.9096847486509514,отрицательный,-1,-1.0,отрицательный,-1,-1.0,отрицательный,-1,-0.877030162412993,отрицательный,-1,-0.9096847486509514,отрицательный,-1
2014-05-12,-0.33712013632490767,отрицательный,-1,0.96875,положительный,1,-0.004444444444444473,нейтральный,0,-0.09744779582366592,нейтральный,0,-0.33712013632490767,отрицательный,-1
2014-05-13,-0.017324623686452933,нейтральный,0,1.0,положительный,1,0.5516049382716048,положительный,1,0.33797370456303155,положительный,1,-0.017324623686452933,нейтральный,0
2014-05-14,0.7551831865947174,положительный,1,1.0,положительный,1,1.0,положительный,1,1.0,положительный,1,0.7551831865947174,положительный,1
2014-05-15,-0.019028685032661197,нейтральный,0,0.06994199931763911,нейтральный,0,0.06994199931763911,нейтральный,0,0.117799352750809,нейтральный,0,-0.019028685032661197,нейтральный,0
2014-05-16,-0.32348764555524,отрицательный,-1,-0.9750390015600624,отрицательный,-1,-0.2958034800409416,нейтральный,0,-0.22912621359223295,нейтральный,0,-0.32348764555524,отрицательный,-1
2014-05-17,-0.8682192558932121,отрицательный,-1,-1.0,отрицательный,-1,-0.9501876492664619,отрицательный,-1,-0.8498381877022654,отрицательный,-1,-0.8682192558932121,отрицательный,-1
