SECID	BOARDID	SHORTNAME	PREVPRICE	LOTSIZE	FACEVALUE	STATUS	BOARDNAME	DECIMALS	SECNAME	REMARKS	MARKETCODE	INSTRID	SECTORID	MINSTEP	PREVWAPRICE	FACEUNIT	PREVDATE	ISSUESIZE	ISIN	LATNAME	REGNUMBER	PREVLEGALCLOSEPRICE	CURRENCYID	SECTYPE	LISTLEVEL	SETTLEDATE
UNKL	TQBR	ЮУНК ао	8300.0	1	1.0	A	Т+: Акции и ДР - безадрес.	0	Южно-Уральский никел. комб. ао	None	FNDT	EQIN	None	10.0	8260.0	SUR	2024-04-01	599737	RU0004887991	Uzhno-Uralskiy nikel. komb. ao	1-01-00197-A	8310.0	SUR	1	3	2024-04-03
UPRO	TQBR	Юнипро ао	2.086	1000	0.4	A	Т+: Акции и ДР - безадрес.	3	Юнипро ПАО ао	None	FNDT	EQIN	None	0.001	2.087	SUR	2024-04-01	63048706145	RU000A0JNGA5	Unipro PAO ao	1-02-65104-D	2.082	SUR	1	1	2024-04-03
URKZ	TQBR	УрКузница	30500.0	1	1.0	A	Т+: Акции и ДР - безадрес.	0	"ПАО ""Уральская кузница"" ао"	None	FNDT	EQIN	None	50.0	30550.0	SUR	2024-04-01	547761	RU000A0JPFY2	Uralskaya kuznica ao	1-01-32341-D	30500.0	SUR	1	3	2024-04-03
USBN	TQBR	УралСиб ао	0.1929	10000	0.1	A	Т+: Акции и ДР - безадрес.	4	БАНК УРАЛСИБ ПАО ао	None	FNDT	EQIN	None	0.0001	0.1907	SUR	2024-04-01	360134697357	RU0006929536	BANK URALSIB ao	10200030B	0.1929	SUR	1	3	2024-04-03
UTAR	TQBR	ЮТэйр ао	15.52	100	1.0	A	Т+: Акции и ДР - безадрес.	2	"Авиакомпания ""ЮТэйр"" (ПАО) ао"	None	FNDT	EQIN	None	0.01	15.67	SUR	2024-04-01	7896123268	RU0007661385	UTAir Aviacompany	1-01-00077-F	15.56	SUR	1	3	2024-04-03
VEON-RX	TQBR	VEON	40.55	10	0.001	A	Т+: Акции и ДР - безадрес.	2	VEON Ltd. ORD SHS	None	FNDT	EQIN	None	0.05	40.75	USD	2024-04-01	1749127404	BMG9349W1038	VEON Ltd. ORD SHS	None	40.5	SUR	1	3	2024-04-03
VGSB	TQBR	ВолгЭнСб	19.88	1000	0.12	A	Т+: Акции и ДР - безадрес.	2	"""Волгоград.энергосбыткомп"" ПАО"	None	FNDT	EQIN	None	0.02	20.22	SUR	2024-04-01	319595965	RU000A0D8L73	Volgograd Energo Sbyt	1-01-65103-D	19.88	SUR	1	3	2024-04-03
VGSBP	TQBR	ВолгЭнСб-п	13.0	1000	0.12	A	Т+: Акции и ДР - безадрес.	2	"""Волгоград.энергосбыткомп"" ПАО"	None	FNDT	EQIN	None	0.02	13.2	SUR	2024-04-01	80499134	RU000A0D8L57	Volgograd Energo Sbyt (pref)	2-01-65103-D	13.0	SUR	2	3	2024-04-03
VJGZ	TQBR	Варьеган	2880.0	1	0.1	A	Т+: Акции и ДР - безадрес.	0	ННК-Варьеганнефтегаз ПАО ао	None	FNDT	EQIN	None	2.0	2900.0	SUR	2024-04-01	18091110	RU0009046460	Var'eganneftegaz ao	1-01-00017-A	2880.0	SUR	1	3	2024-04-03
VJGZP	TQBR	Варьеган-п	1619.0	1	0.1	A	Т+: Акции и ДР - безадрес.	0	ННК-Варьеганнефтегаз ПАО ап	None	FNDT	EQIN	None	1.0	1556.0	SUR	2024-04-01	5883050	RU0007964789	Var'eganneftegaz ap	2-01-00017-A	1610.0	SUR	2	3	2024-04-03
